Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1329,0,28,26.931781404065042,14.994029000263254,77.19728099982603,24317.0,14.918027672441731,0.0,28,30,31,31,34,38,40,42,76,77,77
GET,/2023/06/15/post2/,1282,0,31,29.85714434710923,17.073971999707283,80.62539999991714,27747.0,14.390452577931,0.0,31,33,34,35,37,40,43,45,50,81,81
GET,/2023/06/17/post1/,1285,0,31,29.744699092606805,16.74410599980547,79.19765200040274,23601.0,14.4241275839636,0.0,31,33,34,35,37,40,44,45,78,79,79
GET,/2023/06/17/post3/,1352,0,32,30.01980584984573,16.839195000102336,78.7767150000036,23412.0,15.176202718691663,0.0,32,33,34,35,37,41,45,47,78,79,79
,Aggregated,5248,0,30,29.130699767909285,14.994029000263254,80.62539999991714,24746.428353658535,58.908810553028,0.0,30,33,34,34,37,40,43,45,78,81,81
