Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,206,0,96,115.15881553398036,63.284299999999405,459.0892000000011,16240.0,2.2966415273505443,0.0,96,99,100,110,170,300,370,450,460,460,460
GET,/2023/06/15/post2/,194,0,96,107.31131752577313,64.55190000000499,446.60990000000567,16184.0,2.162856584009736,0.0,97,100,100,100,130,250,330,340,450,450,450
GET,/2023/06/17/post1/,218,0,98,119.75295412844034,65.47919999999863,535.9432000000002,16184.0,2.4304264706913528,0.0,98,100,100,110,220,320,410,440,540,540,540
GET,/2023/06/17/post3/,233,0,98,120.50455665236053,64.85119999999966,460.1763999999946,16184.0,2.5976576498673634,0.0,98,100,100,110,230,310,420,440,460,460,460
,Aggregated,851,0,97,116.01036110458263,63.284299999999405,535.9432000000002,16197.555816686252,9.487582231918996,0.0,97,100,100,110,170,300,390,440,540,540,540
