Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,405,0,29,28.314330298756847,15.290616000129376,215.52487200006,24317.0,4.546616946508812,0.0,29,30,31,31,33,39,43,45,220,220,220
GET,/2023/06/15/post2/,350,0,33,32.216066305709965,16.73502899984669,238.3769770001436,27747.0,3.929175138958233,0.0,33,34,34,35,37,39,51,57,240,240,240
GET,/2023/06/17/post1/,372,0,32,29.8998843413982,16.638840000041455,50.751158999901236,23601.0,4.1761518619784646,0.0,32,33,33,34,35,38,42,48,51,51,51
GET,/2023/06/17/post3/,387,0,33,31.005401170549884,16.526996000038707,239.26891000019168,23412.0,4.344545082219532,0.0,33,33,34,34,36,39,45,59,240,240,240
,Aggregated,1514,0,31,30.293774244384345,15.290616000129376,239.26891000019168,24702.675693527082,16.996489029665042,0.0,31,33,34,34,36,39,44,50,240,240,240
