Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,227,0,140.0,245.88481585903133,86.39420000000086,1801.5611,24317.0,2.5589007200378098,0.0,140,200,350,410,550,620,670,800,1800,1800,1800
GET,/2023/06/15/post2/,216,0,150.0,241.6259398148147,86.77840000000003,1805.1452000000002,27747.0,2.4349011256747444,0.0,150,190,330,430,500,590,700,760,1800,1800,1800
GET,/2023/06/17/post1/,226,0,140.0,241.34535796460187,85.08249999999862,1802.9113,23601.0,2.5476280296411673,0.0,140,170,320,400,500,540,750,1800,1800,1800,1800
GET,/2023/06/17/post3/,203,0,150.0,243.3474635467983,94.87080000000248,1800.2492000000002,23412.0,2.288356150518394,0.0,150,190,340,420,500,590,630,800,1800,1800,1800
,Aggregated,872,0,140.0,243.06266307339433,85.08249999999862,1805.1452000000002,24770.381880733945,9.829786025872115,0.0,140,190,330,410,510,590,700,800,1800,1800,1800
