Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1476,0,28,26.965536397015143,14.9043769997661,74.33478900020418,24317.0,16.569666778758556,0.0,28,30,31,32,34,37,42,44,74,74,74
GET,/2023/06/15/post2/,1533,0,31,29.705298272666912,16.566622000027564,75.01107699954446,27747.0,17.20955228444232,0.0,31,33,34,35,38,42,46,47,73,75,75
GET,/2023/06/17/post1/,1466,0,30,29.206659572322664,16.50901100038027,76.77531199988152,23601.0,16.457406163726315,0.0,30,32,34,34,37,41,45,47,69,77,77
GET,/2023/06/17/post3/,1450,0,31,29.803079544816963,16.656925000461342,72.75363799999468,23412.0,16.27778917967473,0.0,31,33,34,35,38,42,45,47,70,73,73
,Aggregated,5925,0,29,28.923338775865286,14.9043769997661,76.77531199988152,24805.824303797468,66.51441440660193,0.0,29,32,33,34,37,41,45,47,73,77,77
