Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1422,0,27,26.52958255766133,15.095094000571407,81.32315600050788,24317.0,15.959334793829717,0.0,27,30,31,31,34,37,41,43,79,81,81
GET,/2023/06/15/post2/,1476,0,30,29.369407111784962,16.6255549993366,185.56305000038265,27747.0,16.565385482203,0.0,30,33,34,35,37,41,44,46,74,190,190
GET,/2023/06/17/post1/,1507,0,30,29.324468001325165,16.75978799994482,79.82067899956746,23601.0,16.913303469972842,0.0,30,33,34,34,37,41,44,46,79,80,80
GET,/2023/06/17/post3/,1493,0,30,29.507132174798,16.773348999777227,185.3471949998493,23412.0,16.756179217431622,0.0,30,33,34,35,37,41,45,47,78,190,190
,Aggregated,5898,0,29,28.70811002186487,15.095094000571407,185.56305000038265,24763.338250254325,66.19420296343718,0.0,29,32,33,34,37,40,44,46,79,190,190
