Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,239,0,120.0,170.50247447698743,79.92699999999786,1721.9189999999999,24317.0,2.6934628153288815,0.0,120,130,150,170,350,400,560,710,1700,1700,1700
GET,/2023/06/15/post2/,220,0,130.0,169.53229863636346,82.27400000001239,1722.081,27747.0,2.479338156369682,0.0,130,130,140,180,340,430,500,710,1700,1700,1700
GET,/2023/06/17/post1/,195,0,130.0,173.91906461538426,84.09050000000207,1723.6727999999998,23601.0,2.1975951840549452,0.0,130,140,160,190,350,420,520,710,1700,1700,1700
GET,/2023/06/17/post3/,218,0,130.0,193.65994082568812,80.73109999999417,1726.165,23412.0,2.456798718584503,0.0,130,140,180,200,390,460,720,1700,1700,1700,1700
,Aggregated,872,0,130.0,176.81110298165137,79.92699999999786,1726.165,24796.00229357798,9.827194874338012,0.0,130,130,160,190,350,420,560,720,1700,1700,1700
