Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,31,0,520.0,647.3196838709683,140.25800000000288,1592.1069,24317.0,0.35286067870608695,0.0,520,620,760,770,840,1600,1600,1600,1600,1600,1600
GET,/2023/06/15/post2/,22,0,700.0,736.4859863636361,444.4241000000062,1606.409,27747.0,0.25041725585593266,0.0,700,800,800,820,910,1600,1600,1600,1600,1600,1600
GET,/2023/06/17/post1/,16,0,510.0,678.1858937500011,333.2144000000028,1605.2956000000001,23601.0,0.1821216406224965,0.0,510,560,840,840,1600,1600,1600,1600,1600,1600,1600
GET,/2023/06/17/post3/,20,0,540.0,675.7940100000001,341.0374000000012,1607.2775,23412.0,0.22765205077812062,0.0,550,840,850,930,950,1600,1600,1600,1600,1600,1600
,Aggregated,89,0,530.0,681.3084988764049,140.25800000000288,1607.2775,24832.775280898877,1.0130516259626368,0.0,530,720,800,840,950,1600,1600,1600,1600,1600,1600
