Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17118,290,330.0,332.425235717025,2.597163000245928,1327.6204409999082,23946.929664680454,68.50471962472486,1.1605543107354952,330,430,490,520,610,690,770,830,1000,1300,1300
GET,/2023/06/15/post2/,17211,290,360.0,355.7350154103171,3.7164420000408427,1354.2247420000422,27319.905002614607,68.87689738644349,1.1605543107354952,360,460,530,560,660,730,810,870,1100,1200,1400
GET,/2023/06/17/post1/,17550,320,360.0,356.1045578758397,2.984320999985357,1305.141778000234,23215.899145299147,70.23354535657911,1.2806116532253742,360,460,520,560,650,730,810,860,1100,1300,1300
GET,/2023/06/17/post3/,17095,273,360.0,359.3682396680329,3.98377999999866,1339.6262930000375,23076.66089499854,68.41267566214928,1.0925218166578974,360,470,530,570,660,740,820,880,1100,1300,1300
,Aggregated,68974,1173,350.0,350.94449478175767,2.597163000245928,1354.2247420000422,24386.884550700262,276.0278380298967,4.694242091354262,350,460,520,550,650,720,810,860,1100,1300,1400
