Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,198,0,120.0,142.63722525252516,81.1136000000019,514.7254999999973,24317.0,2.2129580271024034,0.0,120,120,130,130,300,360,470,490,510,510,510
GET,/2023/06/15/post2/,219,0,120.0,142.28420228310483,82.10009999999812,431.6939,27747.0,2.4476656966435675,0.0,120,130,130,140,240,330,410,420,430,430,430
GET,/2023/06/17/post1/,222,0,120.0,144.353441891892,84.02519999999924,533.2944000000026,23601.0,2.4811953637208766,0.0,120,130,130,140,280,340,430,440,530,530,530
GET,/2023/06/17/post3/,222,0,120.0,140.22685540540567,82.40690000000939,476.9555999999966,23412.0,2.4811953637208766,0.0,120,130,130,140,220,320,400,430,480,480,480
,Aggregated,861,0,120.0,142.3684516840884,81.1136000000019,533.2944000000026,24771.480836236933,9.623014451187725,0.0,120,130,130,140,250,340,420,440,530,530,530
