Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,342,0,110.0,127.53780526315788,79.24669999999878,444.61250000000007,24317.0,3.8537088509750226,0.0,110,120,130,130,170,250,300,330,440,440,440
GET,/2023/06/15/post2/,414,0,120.0,128.93755458937184,83.31470000000252,585.1904999999995,27747.0,4.66501597749608,0.0,120,130,130,130,140,250,310,350,590,590,590
GET,/2023/06/17/post1/,344,0,120.0,136.3152494186047,86.35639999999967,460.2911999999999,23601.0,3.876245160045052,0.0,120,130,130,140,200,280,330,360,460,460,460
GET,/2023/06/17/post3/,372,0,120.0,131.92294220430134,84.39500000000066,359.78739999999834,23412.0,4.191753487025463,0.0,120,130,130,130,160,300,320,350,360,360,360
,Aggregated,1472,0,120.0,131.090935665761,79.24669999999878,585.1904999999995,24885.652173913044,16.586723475541618,0.0,120,130,130,130,160,280,320,360,460,590,590
