Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,376,0,97,111.3291045212763,66.44649999999785,435.8549000000007,16240.0,4.238563873056797,0.0,97,100,100,110,180,250,310,330,440,440,440
GET,/2023/06/15/post2/,351,0,99,112.34449173789181,67.1746000000013,353.2665000000037,16184.0,3.9567444666035527,0.0,99,100,100,110,170,280,330,340,350,350,350
GET,/2023/06/17/post1/,365,0,99,112.4777191780818,66.90570000000129,463.67559999998775,16184.0,4.11456333421737,0.0,99,100,110,110,180,260,290,330,460,460,460
GET,/2023/06/17/post3/,389,0,99,114.09336812339333,67.53710000000268,614.1121999999992,16184.0,4.385109964412484,0.0,99,100,110,110,180,270,320,350,610,610,610
,Aggregated,1481,0,99,112.57889777177552,66.44649999999785,614.1121999999992,16198.217420661715,16.694981638290205,0.0,99,100,110,110,180,260,310,340,460,610,610
